match_id,slot,player,hero_id,hero_name,side,hero_attack,hero_attribute,team,lane,farmer,lane_type,opponent_lane_type,lh_minute_1,lh_minute_2,lh_minute_3,lh_minute_4,lh_minute_5,lh_minute_6,lh_minute_7,lh_minute_8,lh_minute_9,lh_minute_10,lh_minute_11,lh_minute_12,lh_minute_13,lh_minute_14,lh_minute_15,denies_minute_1,denies_minute_2,denies_minute_3,denies_minute_4,denies_minute_5,denies_minute_6,denies_minute_7,denies_minute_8,denies_minute_9,denies_minute_10,denies_minute_11,denies_minute_12,denies_minute_13,denies_minute_14,denies_minute_15,level_minute_1,level_minute_2,level_minute_3,level_minute_4,level_minute_5,level_minute_6,level_minute_7,level_minute_8,level_minute_9,level_minute_10,level_minute_11,level_minute_12,level_minute_13,level_minute_14,level_minute_15,kill_minute_1,kill_minute_2,kill_minute_3,kill_minute_4,kill_minute_5,kill_minute_6,kill_minute_7,kill_minute_8,kill_minute_9,kill_minute_10,kill_minute_11,kill_minute_12,kill_minute_13,kill_minute_14,kill_minute_15,death_minute_1,death_minute_2,death_minute_3,death_minute_4,death_minute_5,death_minute_6,death_minute_7,death_minute_8,death_minute_9,death_minute_10,death_minute_11,death_minute_12,death_minute_13,death_minute_14,death_minute_15,assist_minute_1,assist_minute_2,assist_minute_3,assist_minute_4,assist_minute_5,assist_minute_6,assist_minute_7,assist_minute_8,assist_minute_9,assist_minute_10,assist_minute_11,assist_minute_12,assist_minute_13,assist_minute_14,assist_minute_15,neutral_gold_minute_1,neutral_gold_minute_2,neutral_gold_minute_3,neutral_gold_minute_4,neutral_gold_minute_5,neutral_gold_minute_6,neutral_gold_minute_7,neutral_gold_minute_8,neutral_gold_minute_9,neutral_gold_minute_10,neutral_gold_minute_11,neutral_gold_minute_12,neutral_gold_minute_13,neutral_gold_minute_14,neutral_gold_minute_15,runes_minute_1,runes_minute_2,runes_minute_3,runes_minute_4,runes_minute_5,runes_minute_6,runes_minute_7,runes_minute_8,runes_minute_9,runes_minute_10,runes_minute_11,runes_minute_12,runes_minute_13,runes_minute_14,runes_minute_15,hero_damage_minute_1,hero_damage_minute_2,hero_damage_minute_3,hero_damage_minute_4,hero_damage_minute_5,hero_damage_minute_6,hero_damage_minute_7,hero_damage_minute_8,hero_damage_minute_9,hero_damage_minute_10,hero_damage_minute_11,hero_damage_minute_12,hero_damage_minute_13,hero_damage_minute_14,hero_damage_minute_15,tower_damage_minute_1,tower_damage_minute_2,tower_damage_minute_3,tower_damage_minute_4,tower_damage_minute_5,tower_damage_minute_6,tower_damage_minute_7,tower_damage_minute_8,tower_damage_minute_9,tower_damage_minute_10,tower_damage_minute_11,tower_damage_minute_12,tower_damage_minute_13,tower_damage_minute_14,tower_damage_minute_15,lane_score_minute_1,lane_score_minute_2,lane_score_minute_3,lane_score_minute_4,lane_score_minute_5,lane_score_minute_6,lane_score_minute_7,lane_score_minute_8,lane_score_minute_9,lane_score_minute_10,lane_score_minute_11,lane_score_minute_12,lane_score_minute_13,lane_score_minute_14,lane_score_minute_15,gpm_minute_1,gpm_minute_2,gpm_minute_3,gpm_minute_4,gpm_minute_5,gpm_minute_6,gpm_minute_7,gpm_minute_8,gpm_minute_9,gpm_minute_10,gpm_minute_11,gpm_minute_12,gpm_minute_13,gpm_minute_14,gpm_minute_15
261406872,0,Goblak,58,Enchantress,Radiant,Ranged,Intelligence,Quantic,offensive jungle,,dual hard + jungler,dual safe + jungler,0,2,4,5,5,6,6,6,6,7,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,6,6,7,7,7,7,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,55,97,219,277,292,388,546,675,675,736,862,1035,1035,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,341,362,711,936,936,1029,1029,1029,1029,1029,1133,1133,0,0,0,0,0,0,0,0,0,103,103,103,233,233,233,0,3,7,11,2,14,25,28,32,40,41,45,50,50,51,97,152,170,190,179,214,241,240,236,224,240,240,240,241,231
261406872,1,Funzii,65,Batrider,Radiant,Ranged,Intelligence,Quantic,mid,1,solo mid,solo mid,2,9,14,20,24,27,28,31,33,36,47,47,47,47,47,3,6,7,10,13,15,15,15,15,15,15,15,15,15,15,1,3,4,5,6,6,7,8,8,8,8,8,8,9,10,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,194,430,444,750,974,1157,1269,1269,1493,1813,1882,0,0,0,0,0,0,0,0,0,0,0,0,47,47,63,5,15,21,30,38,47,48,61,63,67,78,78,80,99,110,157,272,280,291,283,288,264,291,275,270,322,302,284,300,308
261406872,2,Sockshka,55,Dark Seer,Radiant,Melee,Intelligence,Quantic,top,1,dual hard + jungler,dual safe + jungler,3,8,14,16,20,22,29,33,34,44,53,59,64,64,68,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,6,8,8,8,8,8,9,9,10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,424,1031,1031,1166,1645,1711,1741,1741,1741,2047,2209,3143,0,0,15,15,15,15,15,15,15,15,105,105,105,105,105,3,8,14,18,32,24,32,33,35,45,61,67,73,83,94,211,247,281,252,298,274,292,312,291,318,371,368,363,359,362
261406872,3,Silent,56,Clinkz,Radiant,Ranged,Agility,Quantic,bot,1,solo safe lane,solo hard lane,3,10,15,23,27,34,41,49,54,60,60,69,74,74,78,0,1,3,5,6,7,9,13,13,15,15,17,18,18,18,2,3,4,5,6,6,7,8,8,8,9,9,9,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,121,121,180,249,311,311,311,452,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,635,1278,1670,2029,2123,2549,2826,3101,3999,4152,4708,4872,5447,5579,7631,0,0,0,0,0,32,32,32,32,32,32,32,372,372,528,7,17,26,37,42,52,62,75,83,91,93,105,116,116,147,205,294,291,324,324,336,353,364,363,368,371,382,375,376,413
261406872,4,7ckngMad,92,Visage,Radiant,Ranged,Intelligence,Quantic,top,,dual hard + jungler,dual safe + jungler,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,5,5,5,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,2,3,3,3,3,3,3,3,4,4,0,46,46,46,46,63,63,87,87,87,87,87,87,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,191,240,475,845,1154,1519,1519,1553,1553,1553,2447,3030,3537,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,0,4,4,4,-5,-1,6,8,8,8,8,8,12,14,16,75,98,90,86,84,102,128,124,119,123,143,137,132,141,141
261406872,5,Luo,11,Shadow Fiend,Dire,Ranged,Agility,Rattlesnake,top,1,dual safe + jungler,dual hard + jungler,1,6,8,10,16,23,30,35,40,42,47,50,62,67,67,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,5,6,7,8,8,8,8,8,9,9,9,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,1,2,2,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0,0,0,58,223,223,223,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,357,1529,1601,1917,2592,2592,2592,2592,2592,2592,2957,3493,0,0,0,0,0,0,0,0,597,731,889,889,889,1149,1374,1,6,10,12,33,48,56,62,73,77,83,86,98,116,110,122,211,195,187,287,333,341,368,388,383,418,400,416,447,422
261406872,6,LaNm,49,Dragon Knight,Dire,Both,Strength,Rattlesnake,mid,1,solo mid,solo mid,2,3,7,11,14,18,22,27,29,34,34,40,43,48,48,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,5,6,6,7,8,8,8,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,201,201,455,815,1344,1359,1359,1359,1809,1809,1809,1809,2344,2794,0,0,0,0,0,113,113,113,1119,1270,1499,1499,1499,1841,2204,3,5,9,14,18,15,19,27,44,52,60,66,70,98,105,155,136,172,197,198,207,215,243,277,292,317,329,320,383,363
261406872,7,Icy,63,Weaver,Dire,Ranged,Agility,Rattlesnake,bot,1,solo hard lane,solo safe lane,2,6,10,12,16,19,25,25,30,35,35,37,37,38,39,0,0,0,0,1,2,3,3,3,4,4,4,4,4,4,1,3,4,4,5,5,6,6,7,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,375,794,1088,1260,1557,1741,2228,2546,3044,3268,3268,3604,3703,4069,4837,0,0,0,0,0,0,0,45,45,45,45,45,45,110,211,3,9,14,16,24,29,39,41,48,54,56,59,60,67,71,155,202,219,203,210,209,232,212,252,268,274,265,250,266,257
261406872,8,Kabu,66,Chen,Dire,Ranged,Intelligence,Rattlesnake,jungle,,dual safe + jungler,dual hard + jungler,0,0,0,2,2,2,4,6,8,8,8,8,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,6,6,6,6,7,8,8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,3,3,3,3,3,4,4,45,68,116,149,149,261,296,296,296,296,296,408,431,431,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,507,693,1065,1815,1836,1900,2182,2182,2226,2226,2226,2226,2391,2511,0,0,0,0,0,0,0,0,323,503,547,547,547,711,847,1,3,5,9,27,35,38,45,50,52,52,55,56,64,55,120,109,114,136,225,247,240,245,265,258,265,259,250,266,253
261406872,9,Sag,88,Nyx Assassin,Dire,Melee,Intelligence,Rattlesnake,top,,dual safe + jungler,dual hard + jungler,0,0,0,0,0,0,0,1,2,2,3,8,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,5,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,0,0,0,0,2,3,3,3,3,3,3,3,3,5,5,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,526,722,722,722,728,728,728,728,862,1457,1457,0,0,0,0,0,0,0,0,54,54,67,67,67,67,67,0,0,0,0,-3,0,-10,-9,-7,-7,-6,-1,0,-7,-1,75,104,94,90,115,122,115,115,145,150,171,182,174,189,202
